ID,WC,WPS,Qmarks,Unique,Dic,Sixltr,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Class
345,11,11,0,100,54.55,27.27,27.27,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,18.18,0,0,0,0,0,9.09,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,9.09,0,0,0,1
346,10,10,0,100,60,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,10,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0
347,14,14,0,100,71.43,57.14,28.57,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,7.14,0,7.14,0,7.14,0,7.14,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,7.14,7.14,7.14,7.14,7.14,0,0,0,7.14,0,0,0,1
348,10,10,0,100,80,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,10,0,0,20,0,0,10,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,10,0,10,0,0,10,0,10,0,0,0,10,0,0,0,10,0,0,0,1
349,26,26,0,92.31,61.54,46.15,34.62,0,0,0,0,0,0,0,0,11.54,7.69,3.85,0,7.69,0,0,11.54,3.85,0,0,3.85,0,3.85,0,0,0,3.85,0,3.85,0,3.85,0,11.54,3.85,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,3.85,0,0,3.85,0,11.54,0,0,0,0,3.85,0,0,0,1
350,20,20,0,85,70,20,45,0,0,0,0,0,0,0,0,10,10,10,0,10,0,5,20,0,0,0,10,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,5,0,0,0,1
351,10,10,0,90,50,40,10,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,10,20,0,0,0,1
352,24,24,0,87.5,70.83,20.83,50,4.17,4.17,0,0,0,0,4.17,0,0,16.67,16.67,4.17,12.5,0,8.33,12.5,12.5,0,0,4.17,0,12.5,0,0,8.33,0,0,0,0,0,0,8.33,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,12.5,0,8.33,4.17,0,0,0,0,0,0,4.17,0,0,0,1
353,15,15,0,100,66.67,40,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,6.67,0,13.33,6.67,0,6.67,6.67,0,6.67,0,6.67,0,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,0,13.33,0,6.67,0,6.67,6.67,0,0,20,0,0,0,1
354,13,13,0,100,76.92,38.46,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,7.69,0,15.38,7.69,0,7.69,7.69,0,7.69,0,7.69,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,15.38,0,7.69,0,7.69,7.69,0,0,23.08,0,0,0,1
355,7,7,0,100,42.86,42.86,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,1
356,13,13,0,84.62,46.15,30.77,7.69,0,0,0,0,0,0,0,0,0,7.69,0,0,7.69,0,0,7.69,0,0,0,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,0,15.38,0,0,0,0,0,7.69,15.38,0,0,0,1
357,8,8,12.5,100,75,50,50,0,0,0,0,0,0,0,0,0,12.5,12.5,0,12.5,0,12.5,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,0
358,14,14,0,100,57.14,35.71,35.71,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,7.14,21.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.43,7.14,14.29,0,0,0,0,0,0,0,14.29,0,0,0,0
359,5,5,0,100,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,8,8,0,100,75,37.5,37.5,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,12.5,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,12.5,25,0,0,0,0,0,0,0,12.5,0,0,0,1
361,4,4,0,100,75,25,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0
362,28,28,0,92.86,82.14,17.86,57.14,10.71,0,0,0,0,0,0,10.71,7.14,17.86,14.29,0,10.71,3.57,10.71,7.14,14.29,0,0,0,0,0,0,0,0,7.14,3.57,3.57,0,0,3.57,21.43,3.57,7.14,7.14,3.57,0,3.57,3.57,3.57,0,0,0,0,0,0,0,0,0,3.57,0,3.57,0,7.14,0,0,0,0,0,3.57,0,0,0,0
363,10,10,0,100,70,60,40,0,0,0,0,0,0,0,0,0,10,10,0,10,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,1
364,11,11,9.09,100,72.73,36.36,54.55,0,0,0,0,0,0,0,0,0,9.09,9.09,0,9.09,0,9.09,27.27,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,18.18,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,9.09,0,0,0,1
365,35,35,0,94.29,22.86,57.14,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86,0,0,0,5.71,0,0,0,0,0,11.43,5.71,5.71,0,5.71,0,5.71,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71,0,2.86,2.86,0,0,0,0,0,0,2.86,0,0,0,0
366,6,6,0,100,66.67,33.33,16.67,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,0,16.67,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,16.67,0,0,16.67,0,16.67,0,0,0,0,16.67,0,0,0,1
